### Serelion ###

malfurian_serelion = {
	name = "Malfurian"
	dna = meldrid_serelion
	female = no
	sexuality = heterosexual
	dynasty = 696972
	martial = 10
	diplomacy = 11
	intrigue = 17
	stewardship = 10
	learning = 11
	religion = "aeluran_weavers"
	culture = "elf"
	trait = calm
	trait = arrogant
	trait = ambitious
	trait = education_intrigue_4
	trait = beauty_good_2
	trait = intellect_good_2
	trait = magic_talent_2
	trait = high_elf
	trait = royal_elf_serelion
	
	disallow_random_traits = yes


	605.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 50
		}
	}

	800.1.1 = {
		death = yes
	}
}

malfurian_serelion_1066 = {
	name = "Malfurian"
	dna = meldrid_serelion
	female = no
	sexuality = heterosexual
	dynasty = 696972
	martial = 10
	diplomacy = 11
	intrigue = 17
	stewardship = 10
	learning = 11
	religion = "aeluran_weavers"
	culture = "elf"
	trait = calm
	trait = arrogant
	trait = ambitious
	trait = education_intrigue_4
	trait = beauty_good_2
	trait = intellect_good_2
	trait = magic_talent_2
	trait = high_elf
	trait = royal_elf_serelion
	
	disallow_random_traits = yes


	850.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 50
		}
	}

	1020.1.1 = {
		death = yes
	}
}


maldrik_serelion = {
	name = "Maldrik"
	dna = meldrid_serelion
	female = no
	sexuality = heterosexual
	dynasty = 696972
	martial = 10
	diplomacy = 11
	intrigue = 17
	stewardship = 10
	learning = 11
	religion = "aeluran_weavers"
	culture = "elf"
	trait = calm
	trait = arrogant
	trait = ambitious
	trait = education_intrigue_4
	trait = beauty_good_2
	trait = intellect_good_2
	trait = magic_talent_2
	trait = elf
	trait = royal_elf_serelion
	
	disallow_random_traits = yes

	father = malfurian_serelion

	789.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
		}
	}

	850.1.1 = {
		death = yes
	}
}

maldrik_serelion_1066 = {
	name = "Maldrik"
	dna = meldrid_serelion
	female = no
	sexuality = heterosexual
	dynasty = 696972
	martial = 10
	diplomacy = 11
	intrigue = 17
	stewardship = 10
	learning = 11
	religion = "aeluran_weavers"
	culture = "elf"
	trait = calm
	trait = arrogant
	trait = ambitious
	trait = education_intrigue_4
	trait = beauty_good_2
	trait = intellect_good_2
	trait = magic_talent_2
	trait = elf
	trait = royal_elf_serelion
	
	disallow_random_traits = yes

	father = malfurian_serelion_1066

	980.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
		}
	}

	1050.1.1 = {
		death = yes
	}
}


hallendar_serelion = {
	name = "Hallendar"
	dna = hallendar_serelion
	female = no
	sexuality = heterosexual
	dynasty = 696972
